dataset,model,distillation_method,real_mse,synthetic_mse
ETTh1,DLinear,MTT,0.3972973295956827,0.8435662958941379
ETTh1,LSTM,MTT,0.9610799889060242,1.133148745066938
ETTh1,MLP,MTT,0.3946648625356474,1.1686004886527728
ETTh1,CNN,MTT,0.383673079886008,1.1064741793581387
ETTh2,DLinear,MTT,0.3034965640572979,1.2775344376076059
ETTh2,LSTM,MTT,1.6341867962667878,3.2407286608841845
ETTh2,MLP,MTT,0.3019157240163916,2.4348884348360973
ETTh2,CNN,MTT,0.32125268757032455,2.8046821354209452
ETTm1,DLinear,MTT,0.3452696834798529,0.7986923322432163
ETTm1,LSTM,MTT,0.7067817472946996,1.1702209305631577
ETTm1,MLP,MTT,0.34155519303920756,1.1529236198060397
ETTm1,CNN,MTT,0.34204507324240213,1.1100282282827794
ETTm2,DLinear,MTT,0.19360817095482363,1.1942783311750662
ETTm2,LSTM,MTT,0.5083635118020827,3.0991726255123724
ETTm2,MLP,MTT,0.18161339288753087,1.9746375610377003
ETTm2,CNN,MTT,0.2010262627525604,2.914479705629292
exchange_rate,DLinear,MTT,0.08211442822597446,0.9354676325222973
exchange_rate,LSTM,MTT,0.6627715937653731,3.16858497541049
exchange_rate,MLP,MTT,0.08772835989346665,3.5931082575508717
exchange_rate,CNN,MTT,0.08641867451230238,2.6425076191791432
weather,DLinear,MTT,0.1961148286292052,0.3071322354340168
weather,LSTM,MTT,0.20910508850612902,0.6531131900935556
weather,MLP,MTT,0.17909443464191277,0.6602387376406857
weather,CNN,MTT,0.1866189273490837,0.6944680611964623
