dataset,model,distillation_method,real_mse,synthetic_mse
ETTh1,DLinear,MTT,0.3972973295956827,0.4063678074853282
ETTh1,LSTM,MTT,0.9610799889060242,1.389194981562864
ETTh1,MLP,MTT,0.3946648625356474,0.4573700706969166
ETTh1,CNN,MTT,0.383673079886008,0.43308211180902273
ETTh2,DLinear,MTT,0.3034965640572979,0.31909221204986143
ETTh2,LSTM,MTT,1.6341867962667878,3.2206318089133847
ETTh2,MLP,MTT,0.3019157240163916,0.3711245095555554
ETTh2,CNN,MTT,0.32125268757032455,0.42514854902649185
ETTm1,DLinear,MTT,0.3452696834798529,0.36498117979335276
ETTm1,LSTM,MTT,0.7067817472946996,1.187411041728802
ETTm1,MLP,MTT,0.34155519303920756,0.5647035235291386
ETTm1,CNN,MTT,0.34204507324240213,0.46437116383835464
ETTm2,DLinear,MTT,0.19360817095482363,0.23535179251616878
ETTm2,LSTM,MTT,0.5083635118020827,3.1865836656273707
ETTm2,MLP,MTT,0.18161339288753087,0.377117520420082
ETTm2,CNN,MTT,0.2010262627525604,0.38944491632558337
exchange_rate,DLinear,MTT,0.08211442822597446,0.40923260972740944
exchange_rate,LSTM,MTT,0.6627715937653731,3.1160426443435725
exchange_rate,MLP,MTT,0.08772835989346665,0.5712952939758587
exchange_rate,CNN,MTT,0.08641867451230238,0.6903088825025808
weather,DLinear,MTT,0.1961148286292052,0.22258658868357978
weather,LSTM,MTT,0.20910508850612902,0.6478269895504762
weather,MLP,MTT,0.17909443464191277,0.2692238550873766
weather,CNN,MTT,0.1866189273490837,0.25020659875404894
