dataset,model,seed,boundary_epoch,n_checkpoints,best_val_loss,final_val_loss,smoothing_window,patience,min_delta_frac,notes
ETTh1,DLinear,7,11,81,0.66035174,0.65722611,5,5,0.01,
ETTh1,DLinear,42,6,81,0.66748864,0.66034008,5,5,0.01,
ETTh1,DLinear,123,6,81,0.66665184,0.65747502,5,5,0.01,
ETTh1,MLP,7,14,81,0.67614596,0.65559293,5,5,0.01,
ETTh1,MLP,42,17,81,0.67347453,0.65955553,5,5,0.01,
ETTh1,MLP,123,12,81,0.68040506,0.6606385,5,5,0.01,
ETTh1,CNN,7,15,81,0.6689741,0.65883634,5,5,0.01,
ETTh1,CNN,42,15,81,0.6728564,0.66272342,5,5,0.01,
ETTh1,CNN,123,11,81,0.67449913,0.6627371,5,5,0.01,
ETTh2,DLinear,7,2,81,0.24924006,0.23477167,5,5,0.01,
ETTh2,DLinear,42,12,81,0.23443306,0.23734073,5,5,0.01,
ETTh2,DLinear,123,4,81,0.24020661,0.23977068,5,5,0.01,
ETTh2,MLP,7,15,81,0.24917262,0.23661447,5,5,0.01,
ETTh2,MLP,42,17,81,0.24568716,0.24616457,5,5,0.01,
ETTh2,MLP,123,13,81,0.24255209,0.23834305,5,5,0.01,
ETTh2,CNN,7,5,81,0.27768651,0.23338352,5,5,0.01,
ETTh2,CNN,42,6,81,0.25386723,0.2682395,5,5,0.01,
ETTh2,CNN,123,8,81,0.24492017,0.24923774,5,5,0.01,
ETTm1,DLinear,7,8,81,0.39683288,0.39723904,5,5,0.01,
ETTm1,DLinear,42,8,81,0.39706173,0.39673521,5,5,0.01,
ETTm1,DLinear,123,4,81,0.40146325,0.39604219,5,5,0.01,
ETTm1,MLP,7,6,81,0.41685729,0.40742731,5,5,0.01,
ETTm1,MLP,42,9,81,0.41210784,0.41406145,5,5,0.01,
ETTm1,MLP,123,9,81,0.41383999,0.4102002,5,5,0.01,
ETTm1,CNN,7,7,81,0.40612623,0.39934917,5,5,0.01,
ETTm1,CNN,42,6,81,0.4066187,0.40202131,5,5,0.01,
ETTm1,CNN,123,8,81,0.40342491,0.40096283,5,5,0.01,
ETTm2,DLinear,7,13,81,0.13161193,0.1379869,5,5,0.01,
ETTm2,DLinear,42,8,81,0.13381409,0.13164596,5,5,0.01,
ETTm2,DLinear,123,7,81,0.13453853,0.13537449,5,5,0.01,
ETTm2,MLP,7,7,81,0.13990888,0.13167534,5,5,0.01,
ETTm2,MLP,42,9,81,0.13928613,0.13068264,5,5,0.01,
ETTm2,MLP,123,12,81,0.13561111,0.13024859,5,5,0.01,
ETTm2,CNN,7,1,81,0.1414327,0.1495272,5,5,0.01,
ETTm2,CNN,42,8,81,0.13740948,0.14087956,5,5,0.01,
ETTm2,CNN,123,4,81,0.13935389,0.14077726,5,5,0.01,
weather,DLinear,7,1,81,0.46488635,0.46176094,5,5,0.01,
weather,DLinear,42,1,81,0.46431032,0.46260645,5,5,0.01,
weather,DLinear,123,1,81,0.46461892,0.46177497,5,5,0.01,
weather,MLP,7,19,81,0.43480874,0.40696381,5,5,0.01,
weather,MLP,42,25,81,0.42907566,0.40647878,5,5,0.01,
weather,MLP,123,22,81,0.4319763,0.40702403,5,5,0.01,
weather,CNN,7,10,81,0.4196932,0.41906655,5,5,0.01,
weather,CNN,42,7,81,0.4259502,0.40977405,5,5,0.01,
weather,CNN,123,10,81,0.42036857,0.41222776,5,5,0.01,
