dataset,model,seed,epoch,val_loss_raw,val_loss_smooth,is_boundary
ETTh1,DLinear,7,1,0.72991133,0.69860619,False
ETTh1,DLinear,7,2,0.6909909,0.69197295,False
ETTh1,DLinear,7,3,0.67491634,0.68779646,False
ETTh1,DLinear,7,4,0.67207324,0.6751384,False
ETTh1,DLinear,7,5,0.67109049,0.67017832,False
ETTh1,DLinear,7,6,0.66662103,0.66850297,False
ETTh1,DLinear,7,7,0.6661905,0.6674709,False
ETTh1,DLinear,7,8,0.66653959,0.66454477,False
ETTh1,DLinear,7,9,0.66691285,0.66322598,False
ETTh1,DLinear,7,10,0.65645986,0.66197512,False
ETTh1,DLinear,7,11,0.66002708,0.66035174,True
ETTh1,DLinear,7,12,0.65993623,0.65948643,False
ETTh1,DLinear,7,13,0.65842268,0.66028845,False
ETTh1,DLinear,7,14,0.66258632,0.65871728,False
ETTh1,DLinear,7,15,0.66046996,0.65842127,False
ETTh1,DLinear,7,16,0.65217123,0.65821861,False
ETTh1,DLinear,7,17,0.65845617,0.65778391,False
ETTh1,DLinear,7,18,0.65740934,0.65709359,False
ETTh1,DLinear,7,19,0.66041287,0.65849118,False
ETTh1,DLinear,7,20,0.65701834,0.65795373,False
ETTh1,DLinear,7,21,0.6591592,0.6575028,False
ETTh1,DLinear,7,22,0.65576888,0.65721797,False
ETTh1,DLinear,7,23,0.65515469,0.65732282,False
ETTh1,DLinear,7,24,0.65898875,0.65767605,False
ETTh1,DLinear,7,25,0.65754255,0.65849152,False
ETTh1,DLinear,7,26,0.66092535,0.65883992,False
ETTh1,DLinear,7,27,0.65984626,0.65870629,False
ETTh1,DLinear,7,28,0.6568967,0.65875243,False
ETTh1,DLinear,7,29,0.65832061,0.65808303,False
ETTh1,DLinear,7,30,0.65777323,0.65761581,False
ETTh1,DLinear,7,31,0.65757836,0.65891162,False
ETTh1,DLinear,7,32,0.65751014,0.65907744,False
ETTh1,DLinear,7,33,0.66337574,0.65864079,False
ETTh1,DLinear,7,34,0.65914974,0.65922714,False
ETTh1,DLinear,7,35,0.65558999,0.65990746,False
ETTh1,DLinear,7,36,0.66051009,0.65902759,False
ETTh1,DLinear,7,37,0.66091173,0.65924783,False
ETTh1,DLinear,7,38,0.65897637,0.6595724,False
ETTh1,DLinear,7,39,0.66025097,0.65822481,False
ETTh1,DLinear,7,40,0.65721281,0.65715879,False
ETTh1,DLinear,7,41,0.65377217,0.65749469,False
ETTh1,DLinear,7,42,0.65558165,0.65684994,False
ETTh1,DLinear,7,43,0.66065587,0.65730017,False
ETTh1,DLinear,7,44,0.6570272,0.65852264,False
ETTh1,DLinear,7,45,0.65946395,0.65886227,False
ETTh1,DLinear,7,46,0.65988454,0.65898802,False
ETTh1,DLinear,7,47,0.6572798,0.6596642,False
ETTh1,DLinear,7,48,0.6612846,0.65951391,False
ETTh1,DLinear,7,49,0.66040812,0.65893666,False
ETTh1,DLinear,7,50,0.65871251,0.65959795,False
ETTh1,DLinear,7,51,0.65699829,0.65812223,False
ETTh1,DLinear,7,52,0.66058623,0.6582001,False
