dataset,model,seed,epoch,train_loss,val_loss,velocity_raw,velocity_smooth,velocity_norm,param_movement_raw,param_movement_smooth,param_movement_norm,val_improvement_raw,val_improvement_smooth,val_improvement_norm,criteria_met,is_boundary
ETTh1,DLinear,7,2,0.37722475,0.6909909,0.05827724,0.02585151,1.87231929,0.47830511,0.33230981,1.35358148,0.03892044,0.01927936,1.80694755,False,False
ETTh1,DLinear,7,3,0.36398151,0.67491634,0.01324324,0.01984774,1.4374906,0.30562236,0.29085103,1.18470942,0.01607456,0.01470521,1.37823755,False,False
ETTh1,DLinear,7,4,0.35794745,0.67207324,0.00603406,0.01628351,1.17934825,0.21300197,0.2615247,1.06525592,0.0028431,0.01265806,1.18636953,False,False
ETTh1,DLinear,7,5,0.35611103,0.67109049,0.00183642,0.00479208,0.34707062,0.16647467,0.19074756,0.77696281,0.00098275,0.00496008,0.46488056,False,False
ETTh1,DLinear,7,6,0.35408442,0.66662103,0.00202661,0.00226122,0.16377125,0.14421941,0.15208743,0.61949038,0.00446946,0.00174517,0.16356482,False,False
ETTh1,DLinear,7,7,0.35326436,0.6661905,0.00082006,0.00105441,0.07636677,0.1244194,0.13007133,0.52981326,0.00043053,0.00117655,0.11027125,False,False
ETTh1,DLinear,7,8,0.35267539,0.66653959,0.00058897,0.00136899,0.09915058,0.11232172,0.1177581,0.47965835,0.0,0.0030706,0.28778984,False,False
ETTh1,DLinear,7,9,0.35382211,0.66691285,0.0,0.00096367,0.06979481,0.10292146,0.10680377,0.43503861,0.0,0.0021767,0.20401035,False,False
ETTh1,DLinear,7,10,0.35041278,0.65645986,0.00340933,0.00098249,0.07115761,0.1049085,0.09881757,0.40250883,0.01045299,0.00210877,0.19764306,False,False
ETTh1,DLinear,7,11,0.3513488,0.66002708,0.0,0.00104409,0.07561882,0.08944776,0.09256688,0.37704818,0.0,0.00241148,0.22601447,False,False
ETTh1,DLinear,7,12,0.35043466,0.65993623,0.00091415,0.00104409,0.07561882,0.08448842,0.08727234,0.35548219,9.085e-05,0.00241148,0.22601447,False,False
ETTh1,DLinear,7,13,0.3495377,0.65842268,0.00089695,0.00069973,0.0506787,0.08106826,0.08076516,0.32897681,0.00151355,0.00074415,0.06974528,False,False
ETTh1,DLinear,7,14,0.34989415,0.66258632,0.0,0.00069973,0.0506787,0.07644876,0.07777846,0.31681123,0.0,0.0024039,0.22530407,False,False
ETTh1,DLinear,7,15,0.34820659,0.66046996,0.00168756,0.0005169,0.03743713,0.07237259,0.07479348,0.30465266,0.00211636,0.00238573,0.22360111,False,False
ETTh1,DLinear,7,16,0.3488449,0.65217123,0.0,0.00069892,0.05061966,0.07451427,0.07106752,0.2894759,0.00829873,0.00229238,0.2148524,False,False
ETTh1,DLinear,7,17,0.34912362,0.65845617,0.0,0.00076832,0.05564617,0.06956353,0.06714979,0.27351797,0.0,0.00229238,0.2148524,False,False
ETTh1,DLinear,7,18,0.3473166,0.65740934,0.00180702,0.00043081,0.03120158,0.06243847,0.06372811,0.25958064,0.00104683,0.00254802,0.23881148,False,False
ETTh1,DLinear,7,19,0.34696959,0.66041287,0.00034701,0.00130448,0.09447847,0.05686008,0.06118127,0.24920671,0.0,0.00088827,0.08325269,False,False
ETTh1,DLinear,7,20,0.35123809,0.65701834,0.0,0.00130448,0.09447847,0.05526423,0.05767045,0.23490624,0.00339452,0.00156634,0.14680389,False,False
ETTh1,DLinear,7,21,0.34686971,0.6591592,0.00436839,0.00098244,0.07115428,0.06178006,0.05636484,0.22958815,0.0,0.00147981,0.13869402,False,False
ETTh1,DLinear,7,22,0.34895225,0.65576888,0.0,0.00091304,0.06612776,0.0520094,0.05545115,0.2258665,0.00339032,0.00147981,0.13869402,False,False
ETTh1,DLinear,7,23,0.34875544,0.65515469,0.00019681,0.00150202,0.10878528,0.05591041,0.05488512,0.2235609,0.00061418,0.00109014,0.10217291,False,False
ETTh1,DLinear,7,24,0.34997641,0.65898875,0.0,0.00062834,0.04550839,0.05229167,0.05212745,0.2123282,0.0,0.00109014,0.10217291,False,False
ETTh1,DLinear,7,25,0.3470315,0.65754255,0.00294491,0.00062834,0.04550839,0.05243406,0.05164802,0.21037536,0.0014462,0.0006279,0.05884922,False,False
ETTh1,DLinear,7,26,0.34726412,0.66092535,0.0,0.00154096,0.11160551,0.04799169,0.05210912,0.21225356,0.0,0.00109497,0.1026256,False,False
ETTh1,DLinear,7,27,0.35109798,0.65984626,0.0,0.00160076,0.11593652,0.04961224,0.05045057,0.20549787,0.00107909,0.00109497,0.1026256,False,False
ETTh1,DLinear,7,28,0.34633808,0.6568967,0.0047599,0.00101178,0.07327901,0.05821593,0.04859134,0.19792475,0.00294956,0.00091521,0.08577723,False,False
ETTh1,DLinear,7,29,0.34603908,0.65832061,0.000299,0.00101178,0.07327901,0.04399893,0.04701829,0.19151734,0.0,0.00095418,0.08943001,False,False
ETTh1,DLinear,7,30,0.3460518,0.65777323,0.0,0.00185895,0.13463609,0.04313789,0.04566164,0.18599135,0.00054738,0.00075201,0.07048137,False,False
ETTh1,DLinear,7,31,0.35146333,0.65757836,0.0,0.0012157,0.08804853,0.04012647,0.04328756,0.17632111,0.00019487,0.00016209,0.01519216,False,False
ETTh1,DLinear,7,32,0.34722748,0.65751014,0.00423585,0.00115591,0.08371751,0.04282898,0.04267925,0.17384331,6.822e-05,0.00100729,0.09440794,False,False
ETTh1,DLinear,7,33,0.3456838,0.66337574,0.00154368,0.00115591,0.08371751,0.04634551,0.04150092,0.16904368,0.0,0.00160977,0.15087456,False,False
ETTh1,DLinear,7,34,0.34582011,0.65914974,0.0,0.00120116,0.0869948,0.04095738,0.04202549,0.17118038,0.00422599,0.00157079,0.14722177,False,False
ETTh1,DLinear,7,35,0.34588092,0.65558999,0.0,0.00035399,0.02563772,0.03724625,0.0412477,0.16801227,0.00355975,0.00155715,0.14594291,False,False
ETTh1,DLinear,7,36,0.34565467,0.66051009,0.00022625,9.645e-05,0.0069858,0.04274931,0.03919859,0.15966572,0.0,0.00194422,0.18222109,False,False
ETTh1,DLinear,7,37,0.34574927,0.66091173,0.0,9.645e-05,0.0069858,0.03894006,0.03802284,0.15487661,0.0,0.00109902,0.10300531,False,False
ETTh1,DLinear,7,38,0.34549325,0.65897637,0.00025602,0.00033062,0.02394578,0.03609994,0.03951308,0.1609467,0.00193536,0.0009947,0.093228,False,False
ETTh1,DLinear,7,39,0.34662168,0.66025097,0.0,0.00028537,0.02066849,0.03507864,0.03829089,0.15596845,0.0,0.00168283,0.15772239,False,False
ETTh1,DLinear,7,40,0.34545083,0.65721281,0.00117085,0.00028537,0.02066849,0.04469742,0.04004511,0.1631138,0.00303815,0.00168283,0.15772239,False,False
ETTh1,DLinear,7,41,0.34879063,0.65377217,0.0,0.00276554,0.20029671,0.0366384,0.04838016,0.19706455,0.00344064,0.00129576,0.12144422,False,False
ETTh1,DLinear,7,42,0.35870536,0.65558165,0.0,0.00276554,0.20029671,0.04771113,0.04963952,0.20219427,0.0,0.00202149,0.18946317,False,False
ETTh1,DLinear,7,43,0.34604851,0.66065587,0.01265685,0.00256672,0.18589678,0.07777518,0.04904954,0.1997911,0.0,0.00141386,0.13251335,False,False
ETTh1,DLinear,7,44,0.34635765,0.6570272,0.0,0.00256672,0.18589678,0.04137549,0.05031431,0.20494283,0.00362867,0.00072573,0.06801895,False,False
ETTh1,DLinear,7,45,0.34618092,0.65946395,0.00017674,0.00309424,0.22410321,0.04174748,0.05016896,0.20435079,0.0,0.00124668,0.11684453,False,False
ETTh1,DLinear,7,46,0.34839215,0.65988454,0.0,0.00056287,0.04076647,0.04296225,0.04258973,0.17347869,0.0,0.00124668,0.11684453,False,False
ETTh1,DLinear,7,47,0.34575453,0.6572798,0.00263762,0.00056287,0.04076647,0.04698439,0.04122148,0.16790544,0.00260474,0.00069625,0.06525518,False,False
ETTh1,DLinear,7,48,0.34616812,0.6612846,0.0,0.00063807,0.0462126,0.03987904,0.04084622,0.16637694,0.0,0.00103537,0.09703914,False,False
ETTh1,DLinear,7,49,0.34704551,0.66040812,0.0,0.00089208,0.06460946,0.03453421,0.04036618,0.16442159,0.00087648,0.00137821,0.12917207,False,False
ETTh1,DLinear,7,50,0.3464928,0.65871251,0.00055271,0.00036455,0.02640303,0.03987121,0.03802339,0.15487884,0.00169561,0.00085726,0.0803465,False,False
ETTh1,DLinear,7,51,0.34522275,0.65699829,0.00127005,0.0004853,0.03514864,0.04056203,0.03861085,0.1572717,0.00171422,0.0021933,0.20556617,False,False
ETTh1,DLinear,7,52,0.3462406,0.66058623,0.0,0.0004853,0.03514864,0.03527046,0.04049798,0.16495848,0.0,0.00201801,0.18913656,False,False
ETTh1,DLinear,7,53,0.34563684,0.65390602,0.00060376,0.00062872,0.04553566,0.04281633,0.04085839,0.16642652,0.0066802,0.00276962,0.25958096,False,False
ETTh1,DLinear,7,54,0.34702678,0.66079747,0.0,0.00049309,0.03571258,0.04396989,0.03966326,0.16155844,0.0,0.00246931,0.23143497,False,False
ETTh1,DLinear,7,55,0.34575699,0.65534381,0.00126979,0.00049309,0.03571258,0.04167326,0.03943633,0.16063411,0.00545367,0.00246931,0.23143497,False,False
ETTh1,DLinear,7,56,0.34516509,0.65513111,0.0005919,0.00082065,0.05943596,0.03458636,0.03939726,0.16047495,0.00021269,0.00141643,0.13275363,False,False
ETTh1,DLinear,7,57,0.34853977,0.65834793,0.0,0.00086639,0.06274914,0.03413583,0.03701451,0.1507694,0.0,0.0014238,0.13344472,False,False
ETTh1,DLinear,7,58,0.34629824,0.65693217,0.00224153,0.00061243,0.04435595,0.04262096,0.0363367,0.14800851,0.00141576,0.00084693,0.07937814,False,False
ETTh1,DLinear,7,59,0.34606951,0.6568953,0.00022873,0.00049405,0.03578217,0.03205613,0.03678696,0.14984253,3.687e-05,0.00080439,0.07539121,False,False
ETTh1,DLinear,7,60,0.3463728,0.65432597,0.0,0.00071964,0.05212055,0.03828421,0.03734464,0.15211412,0.00256933,0.00080439,0.07539121,False,False
ETTh1,DLinear,7,61,0.34643974,0.65697532,0.0,0.00027133,0.01965156,0.03683765,0.03533543,0.1439301,0.0,0.00052124,0.04885287,False,False
ETTh1,DLinear,7,62,0.34531181,0.65903826,0.00112794,0.00022559,0.01633838,0.03692425,0.03625862,0.14769048,0.0,0.00125008,0.11716295,False,False
ETTh1,DLinear,7,63,0.3454701,0.66038556,0.0,0.00029642,0.02146876,0.03257491,0.03477067,0.14162969,0.0,0.00073621,0.06900117,False,False
ETTh1,DLinear,7,64,0.34561457,0.65670449,0.0,0.00029642,0.02146876,0.03667208,0.03388043,0.1380035,0.00368107,0.00090707,0.08501453,False,False
ETTh1,DLinear,7,65,0.34526039,0.65823568,0.00035418,0.00025838,0.01871373,0.03084446,0.03368525,0.13720851,0.0,0.00096415,0.09036473,False,False
ETTh1,DLinear,7,66,0.34660521,0.65738141,0.0,0.00025838,0.01871373,0.03238643,0.03296477,0.13427379,0.00085428,0.00112144,0.10510599,False,False
ETTh1,DLinear,7,67,0.34566747,0.65709598,0.00093774,0.00030935,0.02240501,0.03594839,0.03214881,0.13095021,0.00028542,0.00049082,0.04600145,False,False
ETTh1,DLinear,7,68,0.34626325,0.65630957,0.0,0.00034411,0.02492252,0.02897248,0.03324506,0.13541551,0.00078642,0.00049082,0.04600145,False,False
ETTh1,DLinear,7,69,0.34600841,0.6557816,0.00025483,0.00034411,0.02492252,0.03259231,0.03350238,0.13646363,0.00052796,0.00031996,0.02998809,False,False
