dataset,expert_model,student_model,seed,method,phase_boundary,student_lr,synthetic_lr,n_distill_steps,real_mse,transfer_mse,mse_ratio,n_pairs_available,notes
ETTh1,DLinear,DLinear,7,param_mtt,,0.01,5.0,1000,0.3972973284216287,0.5545176846599685,1.3957246751770025,81,
ETTh1,DLinear,DLinear,7,phase_aware_mtt,11,0.01,5.0,1000,0.3972973284216287,0.42457018295618126,1.0686459550153569,81,
ETTh1,DLinear,CNN,7,param_mtt,,0.01,5.0,1000,0.3836699554672952,1.13317963625515,2.9535271660116855,81,
ETTh1,DLinear,CNN,7,phase_aware_mtt,11,0.01,5.0,1000,0.3836699554672952,1.1596512518836524,3.0225229663116098,81,
ETTh1,DLinear,MLP,7,param_mtt,,0.01,5.0,1000,0.39546623699602085,0.8470052811246841,2.1417891134236235,81,
ETTh1,DLinear,MLP,7,phase_aware_mtt,11,0.01,5.0,1000,0.39546623699602085,0.7853556510779841,1.9858981061027627,81,
ETTh1,DLinear,DLinear,42,param_mtt,,0.01,5.0,1000,0.3972973284216287,0.5085427284322254,1.2800054066624338,81,
ETTh1,DLinear,DLinear,42,phase_aware_mtt,6,0.01,5.0,1000,0.3972973284216287,0.4293865396924087,1.0807687567350708,81,
ETTh1,DLinear,CNN,42,param_mtt,,0.01,5.0,1000,0.3836699554672952,0.48124962782486796,1.2543323264359454,81,
ETTh1,DLinear,CNN,42,phase_aware_mtt,6,0.01,5.0,1000,0.3836699554672952,0.4417860702458555,1.1514742396437507,81,
ETTh1,DLinear,MLP,42,param_mtt,,0.01,5.0,1000,0.39546623699602085,0.5619528138495882,1.420988092733799,81,
ETTh1,DLinear,MLP,42,phase_aware_mtt,6,0.01,5.0,1000,0.39546623699602085,0.5483072756212614,1.3864831541277147,81,
ETTh1,DLinear,DLinear,123,param_mtt,,0.01,5.0,1000,0.3972973284216287,0.44214282458568627,1.1128764100735802,81,
ETTh1,DLinear,DLinear,123,phase_aware_mtt,6,0.01,5.0,1000,0.3972973284216287,0.41543921600847944,1.0456632508930386,81,
