dataset,expert_model,student_model,seed,method,phase_boundary,student_lr,synthetic_lr,n_distill_steps,real_mse,transfer_mse,mse_ratio,n_pairs_available,notes
ETTh1,DLinear,DLinear,7,param_mtt,,0.05,5.0,1000,0.3972973284216287,0.4020532004209709,1.0119705612374397,81,
ETTh1,DLinear,DLinear,7,phase_aware_mtt,11,0.05,5.0,1000,0.3972973284216287,0.41428599403670296,1.0427605835724252,81,
ETTh1,DLinear,CNN,7,param_mtt,,0.05,5.0,1000,0.3836699554672952,1.1650896957330932,3.0366977636131525,81,
ETTh1,DLinear,CNN,7,phase_aware_mtt,11,0.05,5.0,1000,0.3836699554672952,0.6922324312439513,1.8042393504616197,81,
ETTh1,DLinear,MLP,7,param_mtt,,0.05,5.0,1000,0.39546623699602085,0.814316693495367,2.0591307608987126,81,
ETTh1,DLinear,MLP,7,phase_aware_mtt,11,0.05,5.0,1000,0.39546623699602085,1.0231843390525523,2.587286203810232,81,
ETTh1,DLinear,DLinear,42,param_mtt,,0.05,5.0,1000,0.3972973284216287,0.39240678303097215,0.9876904649470322,81,
ETTh1,DLinear,DLinear,42,phase_aware_mtt,6,0.05,5.0,1000,0.3972973284216287,0.4197052529299067,1.0564008940037417,81,
ETTh1,DLinear,CNN,42,param_mtt,,0.05,5.0,1000,0.3836699554672952,0.40766077050594446,1.0625298246494943,81,
ETTh1,DLinear,CNN,42,phase_aware_mtt,6,0.05,5.0,1000,0.3836699554672952,0.4365694840300681,1.1378776935982473,81,
ETTh1,DLinear,MLP,42,param_mtt,,0.05,5.0,1000,0.39546623699602085,0.473243205437469,1.19667157690185,81,
ETTh1,DLinear,MLP,42,phase_aware_mtt,6,0.05,5.0,1000,0.39546623699602085,0.48399923045257937,1.2238699165042737,81,
ETTh1,DLinear,DLinear,123,param_mtt,,0.05,5.0,1000,0.3972973284216287,0.38593714525630923,0.9714063439327648,81,
ETTh1,DLinear,DLinear,123,phase_aware_mtt,6,0.05,5.0,1000,0.3972973284216287,0.40603897356931967,1.022002778580011,81,
ETTh1,DLinear,CNN,123,param_mtt,,0.05,5.0,1000,0.3836699554672952,0.40138840283595,1.0461814825898328,81,
ETTh1,DLinear,CNN,123,phase_aware_mtt,6,0.05,5.0,1000,0.3836699554672952,0.4172243882236577,1.0874565033779997,81,
ETTh1,DLinear,MLP,123,param_mtt,,0.05,5.0,1000,0.39546623699602085,0.4314362801108858,1.090956040617007,81,
ETTh1,DLinear,MLP,123,phase_aware_mtt,6,0.05,5.0,1000,0.39546623699602085,0.43234100180364443,1.093243774962247,81,
