experiment,dataset,expert_model,student_model,seed,method,phase_boundary,real_mse,transfer_mse,mse_ratio,n_pairs_available,notes
cross_arch_phase_aware_early_stop,ETTh1,DLinear,DLinear,7,param_mtt,,0.3972973284216287,0.4141545763461725,1.0424298043772753,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,DLinear,7,phase_aware_mtt,18,0.3972973284216287,0.41087774550842404,1.0341819995134305,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,MLP,7,param_mtt,,0.39546623699602085,0.5161919883329501,1.3052744837434604,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,MLP,7,phase_aware_mtt,18,0.39546623699602085,0.48178105989847364,1.218260915414939,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,CNN,7,param_mtt,,0.3836699554672952,1.1053946369253,2.881108153436127,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,CNN,7,phase_aware_mtt,18,0.3836699554672952,0.39026420616416674,1.0171873001857548,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,DLinear,42,param_mtt,,0.3972973284216287,0.4035933128246703,1.0158470343308226,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,DLinear,42,phase_aware_mtt,21,0.3972973284216287,0.4176094861033432,1.0511258350576131,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,MLP,42,param_mtt,,0.39546623699602085,0.6267797420032414,1.5849134094588915,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,MLP,42,phase_aware_mtt,21,0.39546623699602085,0.5741205060055004,1.4517560598005668,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,CNN,42,param_mtt,,0.3836699554672952,0.4178205092238434,1.0890102372362052,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,CNN,42,phase_aware_mtt,21,0.3836699554672952,0.40094897555644526,1.045036156318534,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,DLinear,123,param_mtt,,0.3972973284216287,0.38634498286697716,0.972432873892803,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,DLinear,123,phase_aware_mtt,22,0.3972973284216287,0.3923787410028716,0.9876198829770704,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,MLP,123,param_mtt,,0.39546623699602085,0.4499765505859605,1.1378380971382094,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,MLP,123,phase_aware_mtt,22,0.39546623699602085,0.43204409959755097,1.0924930099706545,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,CNN,123,param_mtt,,0.3836699554672952,0.398575601433448,1.0388501777471688,81,
