experiment,dataset,expert_model,student_model,seed,method,phase_boundary,real_mse,transfer_mse,mse_ratio,n_pairs_available,notes
cross_arch_phase_aware_early_stop,ETTh1,DLinear,DLinear,7,param_mtt,,0.3972973284216287,0.40241865236514385,1.0128904061949298,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,DLinear,7,phase_aware_mtt,18,0.3972973284216287,0.4085309407176386,1.0282750763531145,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,MLP,7,param_mtt,,0.39546623699602085,0.4703125097511711,1.189260841389864,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,MLP,7,phase_aware_mtt,18,0.39546623699602085,0.5184992707304601,1.3111088184645132,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,CNN,7,param_mtt,,0.3836699554672952,1.1326452547294967,2.9521343503428055,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,CNN,7,phase_aware_mtt,18,0.3836699554672952,0.4095973592319376,1.0675773627702065,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,DLinear,42,param_mtt,,0.3972973284216287,0.3918729630945034,0.9863468366407723,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,DLinear,42,phase_aware_mtt,21,0.3972973284216287,0.40694415206693935,1.024281118837711,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,MLP,42,param_mtt,,0.39546623699602085,0.5258079888199582,1.329590087927655,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,MLP,42,phase_aware_mtt,21,0.39546623699602085,0.5419840510608783,1.3704938635920307,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,CNN,42,param_mtt,,0.3836699554672952,0.4001616007447844,1.0429839372160454,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,CNN,42,phase_aware_mtt,21,0.3836699554672952,0.39811564064987953,1.0376513328102275,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,DLinear,123,param_mtt,,0.3972973284216287,0.38556652879515213,0.9704734998519111,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,DLinear,123,phase_aware_mtt,22,0.3972973284216287,0.39103338243696967,0.9842336065798775,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,MLP,123,param_mtt,,0.39546623699602085,0.4318237844589297,1.0919359076999402,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,MLP,123,phase_aware_mtt,22,0.39546623699602085,0.43849717978586483,1.1088106613517983,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,CNN,123,param_mtt,,0.3836699554672952,0.3923360598579557,1.0225873938450707,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,CNN,123,phase_aware_mtt,22,0.3836699554672952,0.3990926049046509,1.0401976991358928,81,
cross_arch_phase_aware_early_stop,ETTh1,MLP,DLinear,7,param_mtt,,0.3972973284216287,0.39566359274140933,0.9958878765011842,81,
cross_arch_phase_aware_early_stop,ETTh1,MLP,DLinear,7,phase_aware_mtt,9,0.3972973284216287,0.3994199835969779,1.0053427370976342,81,
cross_arch_phase_aware_early_stop,ETTh1,MLP,MLP,7,param_mtt,,0.39546623699602085,0.4282962371194792,1.083015936765769,81,
cross_arch_phase_aware_early_stop,ETTh1,MLP,MLP,7,phase_aware_mtt,9,0.39546623699602085,0.447967970920565,1.1327590803284489,81,
cross_arch_phase_aware_early_stop,ETTh1,MLP,CNN,7,param_mtt,,0.3836699554672952,0.39653437946192716,1.0335299228185943,81,
cross_arch_phase_aware_early_stop,ETTh1,MLP,CNN,7,phase_aware_mtt,9,0.3836699554672952,0.4112461742177074,1.0718748454432026,81,
cross_arch_phase_aware_early_stop,ETTh1,MLP,DLinear,42,param_mtt,,0.3972973284216287,0.39626634404874717,0.9974050055232504,81,
cross_arch_phase_aware_early_stop,ETTh1,MLP,DLinear,42,phase_aware_mtt,10,0.3972973284216287,0.4016288590999896,1.0109024913295266,81,
cross_arch_phase_aware_early_stop,ETTh1,MLP,MLP,42,param_mtt,,0.39546623699602085,0.46381111992947455,1.1728210313290066,81,
cross_arch_phase_aware_early_stop,ETTh1,MLP,MLP,42,phase_aware_mtt,10,0.39546623699602085,0.4868939024592665,1.2311895603471343,81,
cross_arch_phase_aware_early_stop,ETTh1,MLP,CNN,42,param_mtt,,0.3836699554672952,0.40936081790002765,1.066960839822451,81,
cross_arch_phase_aware_early_stop,ETTh1,MLP,CNN,42,phase_aware_mtt,10,0.3836699554672952,0.44138123994200945,1.1504190871667919,81,
cross_arch_phase_aware_early_stop,ETTh1,MLP,DLinear,123,param_mtt,,0.3972973284216287,0.40176380404022055,1.011242148635472,81,
