experiment,dataset,expert_model,student_model,seed,method,phase_boundary,real_mse,transfer_mse,mse_ratio,n_pairs_available,notes
cross_arch_phase_aware_early_stop,ETTh1,DLinear,DLinear,7,phase_aware_mtt,11,0.3972973284216287,0.4122367490038073,1.03760262028826,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,MLP,7,phase_aware_mtt,11,0.39546623699602085,0.5174460592153307,1.3084456037154373,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,CNN,7,phase_aware_mtt,11,0.3836699554672952,0.396322356781165,1.0329773054511389,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,DLinear,42,phase_aware_mtt,6,0.3972973284216287,0.4080805044801172,1.0271413253678991,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,MLP,42,phase_aware_mtt,6,0.39546623699602085,0.6001347080259086,1.5175371545863399,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,CNN,42,phase_aware_mtt,6,0.3836699554672952,0.40863307047228614,1.0650640339418467,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,DLinear,123,phase_aware_mtt,6,0.3972973284216287,0.3967708716792429,0.9986749049018848,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,MLP,123,phase_aware_mtt,6,0.39546623699602085,0.44651399180146584,1.1290824602201341,81,
cross_arch_phase_aware_early_stop,ETTh1,DLinear,CNN,123,phase_aware_mtt,6,0.3836699554672952,0.4195559581467318,1.0935335231963337,81,
cross_arch_phase_aware_early_stop,ETTh1,MLP,DLinear,7,phase_aware_mtt,14,0.3972973284216287,0.4183544517185093,1.0530009184318851,81,
cross_arch_phase_aware_early_stop,ETTh1,MLP,MLP,7,phase_aware_mtt,14,0.39546623699602085,0.5263894477440494,1.331060400358137,81,
cross_arch_phase_aware_early_stop,ETTh1,MLP,CNN,7,phase_aware_mtt,14,0.3836699554672952,0.48627936045328773,1.2674418560114207,81,
cross_arch_phase_aware_early_stop,ETTh1,MLP,DLinear,42,phase_aware_mtt,17,0.3972973284216287,0.4221031930331054,1.0624365250831782,81,
cross_arch_phase_aware_early_stop,ETTh1,MLP,MLP,42,phase_aware_mtt,17,0.39546623699602085,0.5361390027651738,1.3557137186671346,81,
cross_arch_phase_aware_early_stop,ETTh1,MLP,CNN,42,phase_aware_mtt,17,0.3836699554672952,0.41869329841583114,1.0912850809646506,81,
cross_arch_phase_aware_early_stop,ETTh1,MLP,DLinear,123,phase_aware_mtt,12,0.3972973284216287,0.42234388078962054,1.063042337756199,81,
cross_arch_phase_aware_early_stop,ETTh1,MLP,MLP,123,phase_aware_mtt,12,0.39546623699602085,0.5435634740552424,1.3744876887194588,81,
cross_arch_phase_aware_early_stop,ETTh1,MLP,CNN,123,phase_aware_mtt,12,0.3836699554672952,0.4198623732072508,1.0943321655089584,81,
cross_arch_phase_aware_early_stop,ETTh1,CNN,DLinear,7,phase_aware_mtt,15,0.3972973284216287,0.4009041243438447,1.0090783291610468,81,
cross_arch_phase_aware_early_stop,ETTh1,CNN,MLP,7,phase_aware_mtt,15,0.39546623699602085,0.4274790346658137,1.0809495088960401,81,
cross_arch_phase_aware_early_stop,ETTh1,CNN,CNN,7,phase_aware_mtt,15,0.3836699554672952,0.404934429737139,1.0554238713947368,81,
cross_arch_phase_aware_early_stop,ETTh1,CNN,DLinear,42,phase_aware_mtt,15,0.3972973284216287,0.41066359386002194,1.0336429783998156,81,
cross_arch_phase_aware_early_stop,ETTh1,CNN,MLP,42,phase_aware_mtt,15,0.39546623699602085,0.44876590509276887,1.1347767852487602,81,
