dataset,expert,student,real_mse,transfer_mse,mse_ratio,is_diagonal,diverged
ETTh1,DLinear,DLinear,0.41059,0.454981,1.108116,True,False
ETTh1,DLinear,LSTM,1.021604,1.14966,1.125348,False,False
ETTh1,DLinear,MLP,0.393488,0.53525,1.360271,False,False
ETTh1,DLinear,CNN,0.38078,0.467864,1.2287,False,False
ETTh1,LSTM,DLinear,0.41059,0.457225,1.113582,False,False
ETTh1,LSTM,LSTM,1.021604,1.263067,1.236358,True,False
ETTh1,LSTM,MLP,0.393488,0.976298,2.481138,False,False
ETTh1,LSTM,CNN,0.38078,0.551842,1.449242,False,False
ETTh1,MLP,DLinear,0.41059,0.48397,1.178719,False,False
ETTh1,MLP,LSTM,1.021604,1.103926,1.080581,False,False
ETTh1,MLP,MLP,0.393488,2.695927,6.85136,True,True
ETTh1,MLP,CNN,0.38078,0.483975,1.271009,False,False
ETTh1,CNN,DLinear,0.41059,0.426156,1.037913,False,False
ETTh1,CNN,LSTM,1.021604,0.965806,0.945382,False,False
ETTh1,CNN,MLP,0.393488,0.50384,1.280446,False,False
ETTh1,CNN,CNN,0.38078,0.449212,1.179716,True,False
ETTh2,DLinear,DLinear,0.304444,0.365163,1.199443,True,False
ETTh2,DLinear,LSTM,1.629221,3.365128,2.065482,False,False
ETTh2,DLinear,MLP,0.309699,0.3679,1.187928,False,False
ETTh2,DLinear,CNN,0.438545,0.515245,1.174896,False,False
ETTh2,LSTM,DLinear,0.304444,0.336326,1.104724,False,False
ETTh2,LSTM,LSTM,1.629221,3.165195,1.942766,True,False
ETTh2,LSTM,MLP,0.309699,0.437275,1.411935,False,False
ETTh2,LSTM,CNN,0.438545,0.460937,1.05106,False,False
ETTh2,MLP,DLinear,0.304444,0.337357,1.108111,False,False
ETTh2,MLP,LSTM,1.629221,3.371043,2.069113,False,False
ETTh2,MLP,MLP,0.309699,0.373371,1.205593,True,False
ETTh2,MLP,CNN,0.438545,0.534888,1.219688,False,False
ETTh2,CNN,DLinear,0.304444,0.364999,1.198904,False,False
ETTh2,CNN,LSTM,1.629221,3.252635,1.996435,False,False
ETTh2,CNN,MLP,0.309699,0.477313,1.541215,False,False
ETTh2,CNN,CNN,0.438545,0.4915,1.120752,True,False
ETTm1,DLinear,DLinear,0.343523,0.362244,1.054497,True,False
ETTm1,DLinear,LSTM,0.637593,1.265809,1.985294,False,False
ETTm1,DLinear,MLP,0.343675,0.441517,1.284696,False,False
ETTm1,DLinear,CNN,0.338231,0.417844,1.235382,False,False
ETTm1,LSTM,DLinear,0.343523,0.502009,1.461354,False,False
ETTm1,LSTM,LSTM,0.637593,1.389938,2.179977,True,False
ETTm1,LSTM,MLP,0.343675,0.607132,1.766589,False,False
ETTm1,LSTM,CNN,0.338231,0.5354,1.582941,False,False
ETTm1,MLP,DLinear,0.343523,0.387618,1.128361,False,False
ETTm1,MLP,LSTM,0.637593,1.316659,2.065047,False,False
ETTm1,MLP,MLP,0.343675,0.474277,1.380017,True,False
ETTm1,MLP,CNN,0.338231,0.369175,1.091489,False,False
ETTm1,CNN,DLinear,0.343523,0.661838,1.926619,False,False
ETTm1,CNN,LSTM,0.637593,1.447815,2.270752,False,False
ETTm1,CNN,MLP,0.343675,0.688368,2.002966,False,False
ETTm1,CNN,CNN,0.338231,0.719866,2.128327,True,False
ETTm2,DLinear,DLinear,0.18519,0.209875,1.133293,True,False
ETTm2,DLinear,LSTM,0.703732,3.104215,4.411072,False,False
ETTm2,DLinear,MLP,0.184683,0.558894,3.026226,False,False
ETTm2,DLinear,CNN,0.18674,0.470241,2.518162,False,False
ETTm2,LSTM,DLinear,0.18519,0.386967,2.089565,False,False
ETTm2,LSTM,LSTM,0.703732,4.370534,6.210505,True,True
ETTm2,LSTM,MLP,0.184683,0.503349,2.725472,False,False
ETTm2,LSTM,CNN,0.18674,0.328178,1.75741,False,False
ETTm2,MLP,DLinear,0.18519,0.210228,1.135203,False,False
ETTm2,MLP,LSTM,0.703732,3.246925,4.613863,False,False
ETTm2,MLP,MLP,0.184683,0.25079,1.357944,True,False
ETTm2,MLP,CNN,0.18674,1.351027,7.234812,False,True
ETTm2,CNN,DLinear,0.18519,0.217966,1.176985,False,False
ETTm2,CNN,LSTM,0.703732,2.855008,4.056951,False,False
ETTm2,CNN,MLP,0.184683,16.183515,87.628452,False,True
ETTm2,CNN,CNN,0.18674,1.750535,9.374197,True,True
