experiment,dataset,expert_model,student_model,seed,method,phase_boundary,n_ckpts_condition,real_mse,transfer_mse,mse_ratio,n_pairs_available,notes
h2_phase_isolation,ETTh1,LSTM,DLinear,42,early_only,48,48,0.41058951828982615,0.4580348180095956,1.1155540938243798,48,
h2_phase_isolation,ETTh1,LSTM,LSTM,42,early_only,48,48,1.0216036738927032,1.105858500753701,1.0824731047999803,48,
h2_phase_isolation,ETTh1,LSTM,MLP,42,early_only,48,48,0.3934878308456902,0.5180757434039766,1.316624563180315,48,
h2_phase_isolation,ETTh1,LSTM,CNN,42,early_only,48,48,0.38077980684624624,0.5090164310291934,1.336773699333083,48,
h2_phase_isolation,ETTh1,LSTM,DLinear,42,late_only,48,32,0.41058951828982615,0.4636550283191489,1.1292422423503392,32,
h2_phase_isolation,ETTh1,LSTM,LSTM,42,late_only,48,32,1.0216036738927032,1.1042163461439118,1.080865676545996,32,
h2_phase_isolation,ETTh1,LSTM,MLP,42,late_only,48,32,0.3934878308456902,0.5283184891614566,1.3426552176365563,32,
h2_phase_isolation,ETTh1,LSTM,CNN,42,late_only,48,32,0.38077980684624624,0.5179212292820162,1.3601593886283625,32,
h2_phase_isolation,ETTh1,LSTM,DLinear,42,full_mtt,48,81,0.41058951828982615,0.45818678244491046,1.1159242066220658,81,
h2_phase_isolation,ETTh1,LSTM,LSTM,42,full_mtt,48,81,1.0216036738927032,1.1058272708182846,1.082442535278536,81,
h2_phase_isolation,ETTh1,LSTM,MLP,42,full_mtt,48,81,0.3934878308456902,0.5102198758695619,1.2966598605425466,81,
h2_phase_isolation,ETTh1,LSTM,CNN,42,full_mtt,48,81,0.38077980684624624,0.5124939877996896,1.3459064230436666,81,
