dataset,model,distillation_method,real_mse,synthetic_mse
ETTh1,DLinear,MTT,0.3972973295956827,0.49338913462840156
ETTh1,LSTM,MTT,0.9610799889060242,1.147769983387344
ETTh1,MLP,MTT,0.3946648625356474,0.633917964861272
ETTh1,CNN,MTT,0.383673079886008,0.4713767089445876
ETTh2,DLinear,MTT,0.3034965640572979,0.3449603024513138
ETTh2,LSTM,MTT,1.6341867962667878,3.1932605475006404
ETTh2,MLP,MTT,0.3019157240163916,0.33520777143351366
ETTh2,CNN,MTT,0.32125268757032455,0.44074657396484646
ETTm1,DLinear,MTT,0.3452696834798529,0.3927248055127259
ETTm1,LSTM,MTT,0.7067817472946996,1.1341213489257012
ETTm1,MLP,MTT,0.34155519303920756,0.44166047301455885
ETTm1,CNN,MTT,0.34204507324240213,0.7376631452153596
ETTm2,DLinear,MTT,0.19360817095482363,0.2377189849055756
ETTm2,LSTM,MTT,0.5083635118020827,3.1992448590807188
ETTm2,MLP,MTT,0.18161339288753087,0.233604031400133
ETTm2,CNN,MTT,0.2010262627525604,3.5198582236379514
exchange_rate,DLinear,MTT,0.08211442822597446,0.13868802116158302
exchange_rate,LSTM,MTT,0.6627715937653731,2.968691050783079
exchange_rate,MLP,MTT,0.08772835989346665,0.1890619308426139
exchange_rate,CNN,MTT,0.08641867451230238,0.20985858203766497
weather,DLinear,MTT,0.1961148286292052,0.22610665714053163
weather,LSTM,MTT,0.20910508850612902,0.6898694613152226
weather,MLP,MTT,0.17909443464191277,0.23344043938443163
weather,CNN,MTT,0.1866189273490837,0.2152339861070819
