dataset,model,distillation_method,real_mse,synthetic_mse,
ETTh1,DLinear,MTT,0.3972973295956827,0.4565327723678324,
ETTh1,LSTM,MTT,0.9610799889060242,1.1432661483254587,
ETTh1,MLP,MTT,0.3946648625356474,0.7142124646951513,
ETTh1,CNN,MTT,0.38367308,0.4843672787846587,
ETTh2,DLinear,MTT,0.3034965640572979,0.3289232714151515,
ETTh2,LSTM,MTT,1.6341867962667878,3.1957423099016564,
ETTh2,MLP,MTT,0.3019157240163916,2.2481067237746384,
ETTh2,CNN,MTT,0.32125268757032455,0.46721173929151044,
ETTm1,DLinear,MTT,0.3452696834798529,0.4050898951794488,
ETTm1,LSTM,MTT,0.7067817472946996,1.1452673460044276,
ETTm1,MLP,MTT,0.34155519303920756,0.7459724394589696,
ETTm1,CNN,MTT,0.34204507324240213,0.586887704,
ETTm2,DLinear,MTT,0.19360817095482363,0.23333033556141705,
ETTm2,LSTM,MTT,0.5083635118020827,2.2176588890852376,
ETTm2,MLP,MTT,0.18161339288753087,0.5601927366830091,
ETTm2,CNN,MTT,0.2010262627525604,0.5347178170332452,
exchange_rate,DLinear,MTT,0.082114428,0.42737406581528625,
exchange_rate,LSTM,MTT,0.6627715937653731,3.0276294736826466,
exchange_rate,MLP,MTT,0.08772836,0.2255672790138016,
exchange_rate,CNN,MTT,0.086418675,1.0997382344378068,
weather,DLinear,MTT,0.1961148286292052,0.24269209305979775,
weather,LSTM,MTT,0.20910508850612902,0.6467825644362661,
weather,MLP,MTT,0.17909443464191277,0.22303226138802199,
weather,CNN,MTT,0.1866189273490837,0.2330535404149931,
