dataset,model,seed,boundary_epoch,n_checkpoints,algorithm,penalty,n_change_points,mean_before,mean_after,drop_ratio,smoothing_window,min_segment_size,penalty_scale,notes
ETTh1,DLinear,7,14,81,pelt,4.54215971,1,0.23893462,0.04425832,5.398637,5,4,1.0,
ETTh1,MLP,7,14,81,pelt,4.6315147,1,0.40786735,0.07665178,5.321042,5,4,1.0,
ETTh1,CNN,7,12,81,pelt,5.24447874,1,0.41798523,0.06568737,6.363251,5,4,1.0,
ETTh2,DLinear,7,15,81,pelt,3.98551985,1,0.21900847,0.05882834,3.72284,5,4,1.0,
ETTh2,MLP,7,10,81,pelt,1.60800451,1,0.42309873,0.1437679,2.942929,5,4,1.0,
ETTh2,CNN,7,16,81,pelt,4.25582758,1,0.32978759,0.07509805,4.391427,5,4,1.0,
ETTm1,DLinear,7,14,81,pelt,5.37737451,1,0.29387953,0.04075127,7.211543,5,4,1.0,
ETTm1,MLP,7,8,81,pelt,2.62769942,1,0.78302825,0.18005195,4.348902,5,4,1.0,
ETTm1,CNN,7,11,81,pelt,5.1721871,1,0.53191145,0.08815746,6.033652,5,4,1.0,
ETTm2,DLinear,7,17,81,pelt,5.30308293,1,0.23834662,0.04356331,5.471269,5,4,1.0,
ETTm2,MLP,7,74,81,pelt,2.40376755,2,0.16395695,0.42500561,0.385776,5,4,1.0,
ETTm2,CNN,7,10,81,pelt,3.40372517,1,0.52243264,0.11273424,4.634197,5,4,1.0,
weather,DLinear,7,7,81,pelt,2.07115573,1,0.41055011,0.06390385,6.424497,5,4,1.0,
weather,MLP,7,8,81,pelt,2.27018603,1,0.77871761,0.19584007,3.976294,5,4,1.0,
weather,CNN,7,14,81,pelt,3.21553815,1,0.45064072,0.11349095,3.970719,5,4,1.0,
ETTh1,DLinear,42,14,81,pelt,4.42520056,1,0.23661305,0.04398266,5.379689,5,4,1.0,
ETTh1,MLP,42,13,81,pelt,4.76511032,1,0.43980287,0.07758638,5.668558,5,4,1.0,
