dataset,model,seed,boundary_epoch,n_checkpoints,threshold,smoothing_window,init_window,step_gap,ref_delta,notes

ETTh1,DLinear,42,21,80,0.1,5,5,1,0.01169517,
ETTh1,MLP,42,10,80,0.1,5,5,1,0.04985573,
ETTh1,CNN,42,9,80,0.1,5,5,1,0.03797758,
ETTh2,DLinear,42,,80,0.1,5,5,1,0.00700064,no_boundary_found
ETTh2,MLP,42,23,80,0.1,5,5,1,0.0110716,
ETTh2,CNN,42,52,80,0.1,5,5,1,0.01689736,
ETTm1,DLinear,42,10,80,0.1,5,5,1,0.0040591,
ETTm1,MLP,42,8,80,0.1,5,5,1,0.01079278,
ETTm1,CNN,42,46,80,0.1,5,5,1,0.00522544,
ETTm2,DLinear,42,61,80,0.1,5,5,1,0.00446684,
ETTm2,MLP,42,20,80,0.1,5,5,1,0.00372269,
ETTm2,CNN,42,,80,0.1,5,5,1,0.00470904,no_boundary_found
ETTh1,DLinear,7,18,80,0.1,5,5,1,0.01041064,
ETTh1,MLP,7,9,80,0.1,5,5,1,0.04521087,
ETTh1,CNN,7,13,80,0.1,5,5,1,0.03602287,
ETTh2,DLinear,7,61,80,0.1,5,5,1,0.00514762,
ETTh2,MLP,7,,80,0.1,5,5,1,0.00679346,no_boundary_found
ETTh2,CNN,7,80,80,0.1,5,5,1,0.020575,
ETTm1,DLinear,7,14,80,0.1,5,5,1,0.00381355,
ETTm1,MLP,7,8,80,0.1,5,5,1,0.00918546,
ETTm1,CNN,7,30,80,0.1,5,5,1,0.00623244,
ETTm2,DLinear,7,41,80,0.1,5,5,1,0.0034072,
ETTm2,MLP,7,61,80,0.1,5,5,1,0.00568981,
ETTm2,CNN,7,,80,0.1,5,5,1,0.00295163,no_boundary_found
ETTh1,DLinear,123,22,80,0.1,5,5,1,0.01094356,
ETTh1,MLP,123,9,80,0.1,5,5,1,0.04540152,
ETTh1,CNN,123,12,80,0.1,5,5,1,0.03709048,
ETTh2,DLinear,123,,80,0.1,5,5,1,0.00477501,no_boundary_found
ETTh2,MLP,123,18,80,0.1,5,5,1,0.01122821,
ETTh2,CNN,123,51,80,0.1,5,5,1,0.01056404,
ETTm1,DLinear,123,14,80,0.1,5,5,1,0.00422181,
ETTm1,MLP,123,7,80,0.1,5,5,1,0.01017951,
ETTm1,CNN,123,,80,0.1,5,5,1,0.00447294,no_boundary_found
ETTm2,DLinear,123,54,80,0.1,5,5,1,0.00326078,
ETTm2,MLP,123,,80,0.1,5,5,1,0.00360754,no_boundary_found
ETTm2,CNN,123,,80,0.1,5,5,1,0.00334295,no_boundary_found
