dataset,model,seed,boundary_epoch,n_checkpoints,best_val_loss,final_val_loss,smoothing_window,patience,min_delta_frac,notes
ETTh1,DLinear,42,6,81,0.66748864,0.66034008,5,5,0.01,
ETTh1,LSTM,42,10,81,1.43541251,1.34412055,5,5,0.01,
ETTh1,MLP,42,17,81,0.67347453,0.65955553,5,5,0.01,
ETTh1,CNN,42,15,81,0.6728564,0.66272342,5,5,0.01,
ETTh2,DLinear,42,12,81,0.23443306,0.23734073,5,5,0.01,
ETTh2,LSTM,42,50,81,0.8548979,0.81019446,5,5,0.01,
ETTh2,LSTM,42,50,81,0.8548979,0.81019446,5,5,0.01,
ETTh2,MLP,42,17,81,0.24568716,0.24616457,5,5,0.01,
ETTh2,MLP,42,17,81,0.24568716,0.24616457,5,5,0.01,
ETTh2,CNN,42,6,81,0.25386723,0.2682395,5,5,0.01,
ETTh2,CNN,42,6,81,0.25386723,0.2682395,5,5,0.01,
ETTm1,DLinear,42,8,81,0.39706173,0.39673521,5,5,0.01,
ETTm1,DLinear,42,8,81,0.39706173,0.39673521,5,5,0.01,
ETTm1,LSTM,42,16,81,1.07362471,0.9086597,5,5,0.01,
ETTm1,LSTM,42,16,81,1.07362471,0.9086597,5,5,0.01,
ETTm1,MLP,42,9,81,0.41210784,0.41406145,5,5,0.01,
ETTm1,MLP,42,9,81,0.41210784,0.41406145,5,5,0.01,
ETTm1,CNN,42,6,81,0.4066187,0.40202131,5,5,0.01,
ETTm2,DLinear,42,8,81,0.13381409,0.13164596,5,5,0.01,
ETTm2,LSTM,42,39,81,0.41910301,0.36431238,5,5,0.01,
ETTm2,MLP,42,9,81,0.13928613,0.13068264,5,5,0.01,
ETTm2,CNN,42,8,81,0.13740948,0.14087956,5,5,0.01,
