dataset,model,seed,epoch,val_loss,velocity_raw,velocity_smooth,velocity_norm,is_boundary
ETTh1,DLinear,123,2,0.6953924,0.0348472,0.01836289,1.67796343,False
ETTh1,DLinear,123,3,0.6786383,0.01675409,0.01514122,1.38357375,False
ETTh1,DLinear,123,4,0.67515092,0.00348738,0.01211298,1.106859,False
ETTh1,DLinear,123,5,0.66967471,0.00547621,0.00589319,0.5385074,False
ETTh1,DLinear,123,6,0.67054009,0.0,0.00320752,0.29309641,False
ETTh1,DLinear,123,7,0.66679184,0.00374825,0.00251004,0.22936245,False
ETTh1,DLinear,123,8,0.66346609,0.00332575,0.00216004,0.19738036,False
ETTh1,DLinear,123,9,0.66725818,0.0,0.00229076,0.20932464,False
ETTh1,DLinear,123,10,0.66353196,0.00372622,0.00154111,0.1408231,False
ETTh1,DLinear,123,11,0.6628784,0.00065356,0.00112989,0.10324742,False
ETTh1,DLinear,123,12,0.66335334,0.0,0.00147668,0.13493595,False
ETTh1,DLinear,123,13,0.66208366,0.00126969,0.00154201,0.14090571,False
ETTh1,DLinear,123,14,0.66034973,0.00173393,0.0014113,0.12896143,False
ETTh1,DLinear,123,15,0.65629686,0.00405287,0.0014113,0.12896143,False
ETTh1,DLinear,123,16,0.66257471,0.0,0.0016281,0.14877225,False
ETTh1,DLinear,123,17,0.66502167,0.0,0.0024969,0.22816189,False
ETTh1,DLinear,123,18,0.66266798,0.00235369,0.00168633,0.15409327,False
ETTh1,DLinear,123,19,0.65659002,0.00607795,0.00186358,0.1702897,False
ETTh1,DLinear,123,20,0.66556242,0.0,0.00270796,0.24744788,False
ETTh1,DLinear,123,21,0.66467619,0.00088623,0.0023012,0.21027868,False
ETTh1,DLinear,123,22,0.66045427,0.00422193,0.00108561,0.09920051,True
ETTh1,DLinear,123,23,0.66013439,0.00031988,0.00228668,0.20895231,False
ETTh1,DLinear,123,24,0.66259261,0.0,0.00210944,0.19275588,False
ETTh1,DLinear,123,25,0.65658723,0.00600538,0.00150689,0.13769685,False
ETTh1,DLinear,123,26,0.66070278,0.0,0.00228443,0.20874685,False
ETTh1,DLinear,123,27,0.65949357,0.00120922,0.00228443,0.20874685,False
ETTh1,DLinear,123,28,0.65528599,0.00420757,0.00146966,0.13429484,False
ETTh1,DLinear,123,29,0.66139728,0.0,0.00146966,0.13429484,False
ETTh1,DLinear,123,30,0.65946576,0.00193153,0.00122782,0.11219568,False
ETTh1,DLinear,123,31,0.66325586,0.0,0.00227074,0.20749554,False
ETTh1,DLinear,123,32,0.66595786,0.0,0.00227074,0.20749554,False
ETTh1,DLinear,123,33,0.65653569,0.00942217,0.00188443,0.17219576,False
ETTh1,DLinear,123,34,0.66003315,0.0,0.00327583,0.29933883,False
ETTh1,DLinear,123,35,0.66308579,0.0,0.00327583,0.29933883,False
ETTh1,DLinear,123,36,0.6561288,0.00695699,0.0013914,0.12714307,False
ETTh1,DLinear,123,37,0.66136689,0.0,0.0021052,0.19236926,False
ETTh1,DLinear,123,38,0.66157183,0.0,0.0021052,0.19236926,False
ETTh1,DLinear,123,39,0.6580028,0.00356903,0.00071381,0.06522619,False
ETTh1,DLinear,123,40,0.66137647,0.0,0.00153204,0.13999442,False
ETTh1,DLinear,123,41,0.6618364,0.0,0.00153204,0.13999442,False
ETTh1,DLinear,123,42,0.65774525,0.00409115,0.00117248,0.10713891,False
ETTh1,DLinear,123,43,0.66236492,0.0,0.00117248,0.10713891,False
ETTh1,DLinear,123,44,0.66059367,0.00177125,0.0015451,0.14118846,False
ETTh1,DLinear,123,45,0.66076993,0.0,0.00148373,0.1355803,False
ETTh1,DLinear,123,46,0.65890682,0.00186312,0.00148373,0.1355803,False
ETTh1,DLinear,123,47,0.65512253,0.00378429,0.0012015,0.10979026,False
ETTh1,DLinear,123,48,0.66088925,0.0,0.00130071,0.11885642,False
ETTh1,DLinear,123,49,0.66052917,0.00036008,0.00128108,0.11706218,False
ETTh1,DLinear,123,50,0.66003309,0.00049608,0.00052422,0.04790211,False
ETTh1,DLinear,123,51,0.65826815,0.00176494,0.00090875,0.08303999,False
ETTh1,DLinear,123,52,0.66281298,0.0,0.00132519,0.12109359,False
ETTh1,DLinear,123,53,0.66089031,0.00192267,0.00198181,0.18109412,False
ETTh1,DLinear,123,54,0.65844802,0.00244229,0.00162883,0.14883881,False
ETTh1,DLinear,123,55,0.65466884,0.00377918,0.00205032,0.18735367,False
ETTh1,DLinear,123,56,0.66179174,0.0,0.00177086,0.16181755,False
ETTh1,DLinear,123,57,0.65968429,0.00210745,0.0012824,0.11718331,False
ETTh1,DLinear,123,58,0.6591589,0.00052539,0.00104815,0.09577751,False
ETTh1,DLinear,123,59,0.66234767,0.0,0.00104815,0.09577751,False
ETTh1,DLinear,123,60,0.65973977,0.0026079,0.00092437,0.08446678,False
ETTh1,DLinear,123,61,0.66023588,0.0,0.00124768,0.11401064,False
ETTh1,DLinear,123,62,0.65874733,0.00148855,0.00124768,0.11401064,False
ETTh1,DLinear,123,63,0.65660537,0.00214196,0.00092551,0.08457097,False
ETTh1,DLinear,123,64,0.65980891,0.0,0.00092551,0.08457097,False
ETTh1,DLinear,123,65,0.65881189,0.00099702,0.00117099,0.10700275,False
ETTh1,DLinear,123,66,0.66363484,0.0,0.00104983,0.09593135,False
ETTh1,DLinear,123,67,0.66091888,0.00271597,0.00104983,0.09593135,False
ETTh1,DLinear,123,68,0.65938272,0.00153616,0.00085043,0.07771014,False
ETTh1,DLinear,123,69,0.66063359,0.0,0.0015909,0.14537302,False
ETTh1,DLinear,123,70,0.66250213,0.0,0.0010477,0.09573711,False
ETTh1,DLinear,123,71,0.65879976,0.00370236,0.00151823,0.13873293,False
ETTh1,DLinear,123,72,0.66204403,0.0,0.00155338,0.14194506,False
ETTh1,DLinear,123,73,0.65815523,0.0038888,0.00155338,0.14194506,False
ETTh1,DLinear,123,74,0.65797947,0.00017576,0.00168428,0.15390625,False
ETTh1,DLinear,123,75,0.66054923,0.0,0.00168428,0.15390625,False
ETTh1,DLinear,123,76,0.65619238,0.00435685,0.00090652,0.08283621,False
ETTh1,DLinear,123,77,0.65766849,0.0,0.00225446,0.20600817,False
ETTh1,DLinear,123,78,0.66537128,0.0,0.00225446,0.20600817,False
ETTh1,DLinear,123,79,0.65845582,0.00691546,0.00172886,0.15798012,False
ETTh1,DLinear,123,80,0.65970979,0.0,0.00230515,0.21064016,False
ETTh1,MLP,123,2,0.82349881,0.14043972,0.07638474,1.68242687,False
ETTh1,MLP,123,3,0.76067405,0.06282476,0.06092756,1.34197175,False
ETTh1,MLP,123,4,0.7347843,0.02588974,0.05191297,1.1434192,False
ETTh1,MLP,123,5,0.72022828,0.01455602,0.02493013,0.54910344,False
ETTh1,MLP,123,6,0.70437366,0.01585462,0.01285221,0.28307874,False
ETTh1,MLP,123,7,0.69884815,0.00552552,0.00864056,0.19031422,False
ETTh1,MLP,123,8,0.69641302,0.00243513,0.00606741,0.13363894,False
ETTh1,MLP,123,9,0.69158152,0.00483149,0.00385923,0.08500224,True
ETTh1,MLP,123,10,0.68989123,0.0016903,0.00367903,0.0810333,False
ETTh1,MLP,123,11,0.68507751,0.00481372,0.00335226,0.07383576,False
ETTh1,MLP,123,12,0.68045297,0.00462454,0.00238596,0.05255236,False
ETTh1,MLP,123,13,0.67965174,0.00080123,0.0020479,0.04510636,False
ETTh1,MLP,123,14,0.68116037,0.0,0.00265329,0.05844062,False
ETTh1,MLP,123,15,0.68297983,0.0,0.00187633,0.04132739,False
ETTh1,MLP,123,16,0.67513914,0.00784069,0.00171608,0.03779786,False
ETTh1,MLP,123,17,0.67439943,0.00073971,0.00171608,0.03779786,False
ETTh1,MLP,123,18,0.67932607,0.0,0.00301799,0.06647337,False
ETTh1,MLP,123,19,0.67979932,0.0,0.00144985,0.03193402,False
ETTh1,MLP,123,20,0.67328976,0.00650956,0.00168519,0.03711752,False
ETTh1,MLP,123,21,0.6760293,0.0,0.00269368,0.05933017,False
ETTh1,MLP,123,22,0.6741129,0.0019164,0.00269368,0.05933017,False
ETTh1,MLP,123,23,0.66907046,0.00504244,0.00160605,0.03537445,False
ETTh1,MLP,123,24,0.6733134,0.0,0.00183844,0.04049287,False
ETTh1,MLP,123,25,0.67224197,0.00107143,0.00145516,0.03205086,False
ETTh1,MLP,123,26,0.67108005,0.00116192,0.00154196,0.03396277,False
ETTh1,MLP,123,27,0.67120203,0.0,0.00154196,0.03396277,False
ETTh1,MLP,123,28,0.66572557,0.00547646,0.00132768,0.02924298,False
ETTh1,MLP,123,29,0.66930514,0.0,0.00130043,0.02864283,False
ETTh1,MLP,123,30,0.67004373,0.0,0.0016056,0.03536448,False
ETTh1,MLP,123,31,0.66901805,0.00102568,0.00051031,0.01123993,False
ETTh1,MLP,123,32,0.66749219,0.00152587,0.00051708,0.01138915,False
ETTh1,MLP,123,33,0.67055228,0.0,0.00051708,0.01138915,False
ETTh1,MLP,123,34,0.67051841,3.387e-05,0.00035469,0.00781239,False
ETTh1,MLP,123,35,0.67200027,0.0,0.00125739,0.02769493,False
ETTh1,MLP,123,36,0.67178654,0.00021373,0.00125739,0.02769493,False
ETTh1,MLP,123,37,0.66574719,0.00603936,0.00125062,0.02754571,False
ETTh1,MLP,123,38,0.66765293,0.0,0.00125062,0.02754571,False
ETTh1,MLP,123,39,0.66798441,0.0,0.00249539,0.05496266,False
ETTh1,MLP,123,40,0.6713336,0.0,0.00145133,0.03196654,False
ETTh1,MLP,123,41,0.66489601,0.00643759,0.00145133,0.03196654,False
ETTh1,MLP,123,42,0.66407695,0.00081906,0.00161605,0.03559457,False
ETTh1,MLP,123,43,0.66518848,0.0,0.00161605,0.03559457,False
ETTh1,MLP,123,44,0.66436489,0.00082359,0.001023,0.02253221,False
ETTh1,MLP,123,45,0.66910408,0.0,0.00085918,0.01892413,False
ETTh1,MLP,123,46,0.66563175,0.00347233,0.00085918,0.01892413,False
ETTh1,MLP,123,47,0.66587726,0.0,0.00079266,0.01745882,False
ETTh1,MLP,123,48,0.66742002,0.0,0.00118903,0.0261892,False
ETTh1,MLP,123,49,0.66692906,0.00049095,0.00049456,0.01089309,False
ETTh1,MLP,123,50,0.6649472,0.00198186,0.00049456,0.01089309,False
