experiment,dataset,expert_model,student_model,seed,method,phase_boundary,real_mse,transfer_mse,mse_ratio,n_pairs_available,notes
cross_arch_phase_aware_early_stop,weather,DLinear,DLinear,7,param_mtt,,0.19611482925529242,0.1960179409128636,0.9995059611616484,81,
cross_arch_phase_aware_early_stop,weather,DLinear,DLinear,7,phase_aware_mtt,1,0.19611482925529242,0.20346625693853976,1.037485322814001,81,
cross_arch_phase_aware_early_stop,weather,DLinear,MLP,7,param_mtt,,0.17910457341721553,0.21208611188871143,1.1841468246300277,81,
cross_arch_phase_aware_early_stop,weather,DLinear,MLP,7,phase_aware_mtt,1,0.17910457341721553,0.21074709486439444,1.176670650243359,81,
cross_arch_phase_aware_early_stop,weather,DLinear,CNN,7,param_mtt,,0.18661918405643865,0.2121886187726471,1.1370139669481973,81,
cross_arch_phase_aware_early_stop,weather,DLinear,CNN,7,phase_aware_mtt,1,0.18661918405643865,0.2120276924147272,1.1361516421088,81,
cross_arch_phase_aware_early_stop,weather,DLinear,DLinear,42,param_mtt,,0.19611482925529242,0.1980787912163977,1.0100143470463863,81,
cross_arch_phase_aware_early_stop,weather,DLinear,DLinear,42,phase_aware_mtt,1,0.19611482925529242,0.2104958749610379,1.0733297209617176,81,
cross_arch_phase_aware_early_stop,weather,DLinear,MLP,42,param_mtt,,0.17910457341721553,0.2059118250395754,1.1496737414957778,81,
cross_arch_phase_aware_early_stop,weather,DLinear,MLP,42,phase_aware_mtt,1,0.17910457341721553,0.20918723788000507,1.1679614534058458,81,
cross_arch_phase_aware_early_stop,weather,DLinear,CNN,42,param_mtt,,0.18661918405643865,0.2032582599172327,1.0891605862758564,81,
cross_arch_phase_aware_early_stop,weather,DLinear,CNN,42,phase_aware_mtt,1,0.18661918405643865,0.21530443338325483,1.153710077942153,81,
cross_arch_phase_aware_early_stop,weather,DLinear,DLinear,123,param_mtt,,0.19611482925529242,0.19733278023999795,1.0062103971909235,81,
cross_arch_phase_aware_early_stop,weather,DLinear,DLinear,123,phase_aware_mtt,1,0.19611482925529242,0.21375891788898926,1.0899681513157204,81,
cross_arch_phase_aware_early_stop,weather,DLinear,MLP,123,param_mtt,,0.17910457341721553,0.20268285838690636,1.131645353995324,81,
cross_arch_phase_aware_early_stop,weather,DLinear,MLP,123,phase_aware_mtt,1,0.17910457341721553,0.31222507605763217,1.7432557421653259,81,
cross_arch_phase_aware_early_stop,weather,DLinear,CNN,123,param_mtt,,0.18661918405643865,0.19704705312204635,1.0558777979784437,81,
cross_arch_phase_aware_early_stop,weather,DLinear,CNN,123,phase_aware_mtt,1,0.18661918405643865,0.2237942492523387,1.1992028064202516,81,
cross_arch_phase_aware_early_stop,weather,MLP,DLinear,7,param_mtt,,0.19611482925529242,nan,nan,81,
cross_arch_phase_aware_early_stop,weather,MLP,DLinear,7,phase_aware_mtt,19,0.19611482925529242,0.20992358317695436,1.07041157455608,81,
cross_arch_phase_aware_early_stop,weather,MLP,MLP,7,param_mtt,,0.17910457341721553,nan,nan,81,
cross_arch_phase_aware_early_stop,weather,MLP,MLP,7,phase_aware_mtt,19,0.17910457341721553,0.20664528183095515,1.1537688730571098,81,
cross_arch_phase_aware_early_stop,weather,MLP,CNN,7,param_mtt,,0.18661918405643865,nan,nan,81,
cross_arch_phase_aware_early_stop,weather,MLP,CNN,7,phase_aware_mtt,19,0.18661918405643865,0.21474144282629373,1.1506932897174718,81,
cross_arch_phase_aware_early_stop,weather,MLP,DLinear,42,param_mtt,,0.19611482925529242,0.33972911266455685,1.732296909696281,81,
cross_arch_phase_aware_early_stop,weather,MLP,DLinear,42,phase_aware_mtt,25,0.19611482925529242,0.2058418108592378,1.0495983992688451,81,
cross_arch_phase_aware_early_stop,weather,MLP,MLP,42,param_mtt,,0.17910457341721553,0.3470378798138186,1.9376271258322952,81,
cross_arch_phase_aware_early_stop,weather,MLP,MLP,42,phase_aware_mtt,25,0.17910457341721553,0.20415177277630922,1.139846788282438,81,
cross_arch_phase_aware_early_stop,weather,MLP,CNN,42,param_mtt,,0.18661918405643865,0.299683074532621,1.605853524908719,81,
cross_arch_phase_aware_early_stop,weather,MLP,CNN,42,phase_aware_mtt,25,0.18661918405643865,0.21075675578442263,1.1293413206687481,81,
cross_arch_phase_aware_early_stop,weather,MLP,DLinear,123,param_mtt,,0.19611482925529242,nan,nan,81,
cross_arch_phase_aware_early_stop,weather,MLP,DLinear,123,phase_aware_mtt,22,0.19611482925529242,nan,nan,81,
cross_arch_phase_aware_early_stop,weather,MLP,MLP,123,param_mtt,,0.17910457341721553,nan,nan,81,
cross_arch_phase_aware_early_stop,weather,MLP,MLP,123,phase_aware_mtt,22,0.17910457341721553,nan,nan,81,
cross_arch_phase_aware_early_stop,weather,MLP,CNN,123,param_mtt,,0.18661918405643865,nan,nan,81,
cross_arch_phase_aware_early_stop,weather,MLP,CNN,123,phase_aware_mtt,22,0.18661918405643865,nan,nan,81,
cross_arch_phase_aware_early_stop,weather,CNN,DLinear,7,param_mtt,,0.19611482925529242,nan,nan,81,
cross_arch_phase_aware_early_stop,weather,CNN,DLinear,7,phase_aware_mtt,10,0.19611482925529242,nan,nan,81,
cross_arch_phase_aware_early_stop,weather,CNN,MLP,7,param_mtt,,0.17910457341721553,nan,nan,81,
cross_arch_phase_aware_early_stop,weather,CNN,MLP,7,phase_aware_mtt,10,0.17910457341721553,nan,nan,81,
cross_arch_phase_aware_early_stop,weather,CNN,CNN,7,param_mtt,,0.18661918405643865,nan,nan,81,
cross_arch_phase_aware_early_stop,weather,CNN,CNN,7,phase_aware_mtt,10,0.18661918405643865,nan,nan,81,
cross_arch_phase_aware_early_stop,weather,CNN,DLinear,42,param_mtt,,0.19611482925529242,0.20983999006333726,1.0699853288002923,81,
cross_arch_phase_aware_early_stop,weather,CNN,DLinear,42,phase_aware_mtt,7,0.19611482925529242,0.22986083118055792,1.1720726681067888,81,
cross_arch_phase_aware_early_stop,weather,CNN,MLP,42,param_mtt,,0.17910457341721553,0.22302034183515443,1.2451962425082201,81,
cross_arch_phase_aware_early_stop,weather,CNN,MLP,42,phase_aware_mtt,7,0.17910457341721553,0.253456133844403,1.41512932366048,81,
cross_arch_phase_aware_early_stop,weather,CNN,CNN,42,param_mtt,,0.18661918405643865,0.20972686323867792,1.1238226353794951,81,
cross_arch_phase_aware_early_stop,weather,CNN,CNN,42,phase_aware_mtt,7,0.18661918405643865,0.2335984607034417,1.2517387313878474,81,
cross_arch_phase_aware_early_stop,weather,CNN,DLinear,123,param_mtt,,0.19611482925529242,0.2547820218022975,1.2991471515427069,81,
cross_arch_phase_aware_early_stop,weather,CNN,DLinear,123,phase_aware_mtt,10,0.19611482925529242,0.22302450518764,1.1372138763526032,81,
cross_arch_phase_aware_early_stop,weather,CNN,MLP,123,param_mtt,,0.17910457341721553,0.25994463292498793,1.4513567574818949,81,
cross_arch_phase_aware_early_stop,weather,CNN,MLP,123,phase_aware_mtt,10,0.17910457341721553,0.24555295603213723,1.3710032711455857,81,
cross_arch_phase_aware_early_stop,weather,CNN,CNN,123,param_mtt,,0.18661918405643865,0.25607919657703293,1.3722018873450208,81,
cross_arch_phase_aware_early_stop,weather,CNN,CNN,123,phase_aware_mtt,10,0.18661918405643865,0.23992220511724108,1.2856245531792818,81,
