dataset,model,seed,epoch,val_loss_raw,val_loss_smooth,is_boundary
weather,DLinear,42,1,0.46782471,0.46431032,True
weather,DLinear,42,2,0.46363466,0.46422496,False
weather,DLinear,42,3,0.46147159,0.46396602,False
weather,DLinear,42,4,0.46396891,0.46321431,False
weather,DLinear,42,5,0.46293023,0.46295262,False
weather,DLinear,42,6,0.46406616,0.46295545,False
weather,DLinear,42,7,0.46232622,0.46224074,False
weather,DLinear,42,8,0.46148573,0.46222421,False
weather,DLinear,42,9,0.46039535,0.46231287,False
weather,DLinear,42,10,0.46284757,0.4624957,False
weather,DLinear,42,11,0.46450949,0.46282976,False
weather,DLinear,42,12,0.46324034,0.46306797,False
weather,DLinear,42,13,0.46315606,0.46301041,False
weather,DLinear,42,14,0.46158636,0.46292042,False
weather,DLinear,42,15,0.46255981,0.46260926,False
weather,DLinear,42,16,0.46405951,0.46256118,False
weather,DLinear,42,17,0.46168456,0.46288175,False
weather,DLinear,42,18,0.46291564,0.46285747,False
weather,DLinear,42,19,0.46318921,0.46246826,False
weather,DLinear,42,20,0.46243842,0.4627829,False
weather,DLinear,42,21,0.46211347,0.46277469,False
weather,DLinear,42,22,0.46325774,0.46277663,False
weather,DLinear,42,23,0.46287459,0.46267537,False
weather,DLinear,42,24,0.46319891,0.46285679,False
weather,DLinear,42,25,0.46193212,0.46272424,False
weather,DLinear,42,26,0.46302057,0.46282833,False
weather,DLinear,42,27,0.46259498,0.46262722,False
weather,DLinear,42,28,0.46339504,0.46280919,False
weather,DLinear,42,29,0.46219338,0.46279154,False
weather,DLinear,42,30,0.46284197,0.46287975,False
weather,DLinear,42,31,0.46293231,0.46288241,False
weather,DLinear,42,32,0.46303606,0.46285394,False
weather,DLinear,42,33,0.46340836,0.46269839,False
weather,DLinear,42,34,0.46205102,0.46258109,False
weather,DLinear,42,35,0.46206421,0.46249567,False
weather,DLinear,42,36,0.46234581,0.462451,False
weather,DLinear,42,37,0.46260897,0.46322863,False
weather,DLinear,42,38,0.46318501,0.46342663,False
weather,DLinear,42,39,0.46593918,0.46351313,False
weather,DLinear,42,40,0.46305419,0.46382054,False
weather,DLinear,42,41,0.46277828,0.46343934,False
weather,DLinear,42,42,0.46414604,0.46258255,False
weather,DLinear,42,43,0.46127901,0.46237118,False
weather,DLinear,42,44,0.46165522,0.46234768,False
weather,DLinear,42,45,0.46199736,0.46195472,False
weather,DLinear,42,46,0.46266078,0.46194577,False
weather,DLinear,42,47,0.46218122,0.46193206,False
weather,DLinear,42,48,0.46123429,0.46230767,False
weather,DLinear,42,49,0.46158663,0.4625178,False
weather,DLinear,42,50,0.46387544,0.46255825,False
weather,DLinear,42,51,0.46371143,0.46280351,False
weather,DLinear,42,52,0.46238347,0.46302076,False
weather,DLinear,42,53,0.46246057,0.46293799,False
weather,DLinear,42,54,0.46267289,0.4632129,False
weather,DLinear,42,55,0.46346157,0.4633049,False
weather,DLinear,42,56,0.46508599,0.46326044,False
weather,DLinear,42,57,0.4628435,0.46333773,False
weather,DLinear,42,58,0.46223826,0.46316386,False
weather,DLinear,42,59,0.46305931,0.46243482,False
weather,DLinear,42,60,0.46259224,0.46248012,False
weather,DLinear,42,61,0.46144078,0.46272718,False
weather,DLinear,42,62,0.46307001,0.46266464,False
weather,DLinear,42,63,0.46347355,0.46246965,False
weather,DLinear,42,64,0.4627466,0.46262605,False
weather,DLinear,42,65,0.46161729,0.46264344,False
weather,DLinear,42,66,0.46222282,0.46267533,False
weather,DLinear,42,67,0.46315695,0.46298569,False
weather,DLinear,42,68,0.46363297,0.46269154,False
weather,DLinear,42,69,0.46429839,0.46259679,False
weather,DLinear,42,70,0.46014655,0.46265599,False
weather,DLinear,42,71,0.46174909,0.46277732,False
weather,DLinear,42,72,0.46345295,0.46241737,False
weather,DLinear,42,73,0.46423962,0.46270011,False
weather,DLinear,42,74,0.46249865,0.4629527,False
weather,DLinear,42,75,0.46156026,0.46286232,False
weather,DLinear,42,76,0.46301202,0.46255822,False
weather,DLinear,42,77,0.46300104,0.46233562,False
weather,DLinear,42,78,0.46271914,0.46276648,False
weather,DLinear,42,79,0.46138566,0.46270509,False
